Num of parameters,Depth,K,Embedding length,Model name,Embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
414180,24,15,6,MOD_snn_24_15_6-100,EMB_snn_24_15_6-100,0.043136155,0.062822412,0.163983446,0.364148873,0.495743498,0.651910863,0.745856002,0.15339045,0.794479505
414180,24,15,8,MOD_snn_24_15_8-50,EMB_snn_24_15_8-50,0.042306089,0.069074573,0.19397818,0.409548246,0.534508482,0.681790924,0.770594691,0.135090197,0.813727016
414180,24,15,8,MOD_snn_24_15_8-75,EMB_snn_24_15_8-75,0.044078948,0.07109966,0.200216295,0.425037762,0.553536453,0.697938725,0.780789356,0.12607055,0.822196307
414180,24,15,8,MOD_snn_24_15_8-100,EMB_snn_24_15_8-100,0.039326212,0.060599327,0.173806789,0.398724574,0.53769061,0.686110972,0.774455816,0.133622299,0.812640137
414180,24,15,16,MOD_snn_24_15_16-50,EMB_snn_24_15_16-50,0.064160297,0.099458245,0.239906446,0.45610185,0.577878944,0.714456294,0.794937902,0.106484482,0.834101371
414180,24,15,16,MOD_snn_24_15_16-75,EMB_snn_24_15_16-75,0.053834953,0.079234331,0.181477042,0.362223626,0.480996614,0.622614655,0.719681771,0.156153059,0.782779134
414180,24,15,16,MOD_snn_24_15_16-100,EMB_snn_24_15_16-100,0.049351314,0.07765442,0.182711445,0.365769308,0.482847255,0.624455097,0.722715712,0.149522666,0.786048282
414180,24,15,32,MOD_snn_24_15_32-50,EMB_snn_24_15_32-50,0.077516955,0.115934035,0.24855645,0.436220208,0.543785523,0.667343208,0.748942345,0.13241645,0.804077571
414180,24,15,32,MOD_snn_24_15_32-75,EMB_snn_24_15_32-75,0.071273404,0.109160863,0.239218956,0.423839331,0.531016649,0.657899198,0.739069823,0.130801354,0.799612377
414180,24,15,32,MOD_snn_24_15_32-100,EMB_snn_24_15_32-100,0.08898025,0.131882349,0.294941496,0.510521203,0.621529983,0.739211383,0.810650169,0.089404064,0.846875254
404272,32,11,4,MOD_snn_32_11_4-50,EMB_snn_32_11_4-50,0.044585539,0.073624291,0.187117969,0.423235384,0.562831856,0.703195576,0.780247658,0.146793905,0.815504353
404272,32,11,4,MOD_snn_32_11_4-75,EMB_snn_32_11_4-75,0.044738137,0.067630697,0.183915328,0.422801875,0.564021451,0.705003201,0.784644762,0.135673759,0.819750914
404272,32,11,4,MOD_snn_32_11_4-100,EMB_snn_32_11_4-100,0.039150432,0.061927069,0.177325819,0.402605956,0.536397734,0.683572694,0.772825996,0.142058965,0.812628994
404272,32,11,6,MOD_snn_32_11_6-50,EMB_snn_32_11_6-50,0.044947436,0.075444669,0.213128133,0.444962225,0.573170686,0.716476661,0.800609342,0.116483073,0.834145686
404272,32,11,6,MOD_snn_32_11_6-75,EMB_snn_32_11_6-75,0.04596614,0.073693039,0.204600093,0.422076112,0.545661214,0.68720878,0.776751107,0.128951334,0.819601134
404272,32,11,6,MOD_snn_32_11_6-100,EMB_snn_32_11_6-100,0.047429207,0.074674141,0.196216843,0.404961252,0.533927614,0.676933968,0.765852613,0.13991594,0.81054152
404272,32,11,8,MOD_snn_32_11_8-50,EMB_snn_32_11_8-50,0.054447652,0.089901505,0.244860256,0.474543024,0.592255888,0.726632836,0.804293028,0.108033096,0.838513896
404272,32,11,8,MOD_snn_32_11_8-75,EMB_snn_32_11_8-75,0.058661654,0.093178079,0.237700901,0.461128803,0.584441955,0.719751086,0.798552804,0.113935843,0.834472815
404272,32,11,8,MOD_snn_32_11_8-100,EMB_snn_32_11_8-100,0.054943233,0.086217089,0.215138661,0.425462833,0.542984112,0.680583344,0.767052983,0.130860055,0.814286025
404272,32,11,16,MOD_snn_32_11_16-50,EMB_snn_32_11_16-50,0.162784071,0.213460927,0.357061114,0.529347491,0.624046128,0.731128519,0.798062964,0.111003552,0.837911432
404272,32,11,16,MOD_snn_32_11_16-75,EMB_snn_32_11_16-75,0.16501473,0.207196539,0.330539339,0.495009306,0.590512114,0.703139477,0.777923401,0.12098194,0.826300111
404272,32,11,16,MOD_snn_32_11_16-100,EMB_snn_32_11_16-100,0.155476479,0.192894273,0.310475621,0.478535929,0.577691761,0.69609591,0.773078403,0.123499439,0.820796778
404272,32,11,32,MOD_snn_32_11_32-50,EMB_snn_32_11_32-50,0.101786351,0.167036165,0.282431676,0.392373307,0.466604144,0.566764728,0.645373648,0.226377546,0.735448437
404272,32,11,32,MOD_snn_32_11_32-75,EMB_snn_32_11_32-75,0.095467715,0.157901565,0.265775174,0.371567874,0.443644348,0.54401794,0.620313588,0.248609503,0.719222292
