layer,neurons per layer,embedding lengths,dropout,samples per perturbagen,model name,embedding name,top 0.0001,top 0.001,top 0.01,top 0.05,top 0.1,top 0.2,top 0.3,median,auc
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-50,EMB_triplet_3_256_16_0.5_50-50,0.012718423,0.0180227,0.039040936,0.111300779,0.202053537,0.378600501,0.55776182,0.285481754,0.70720979
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_50-100,EMB_triplet_3_256_16_0.5_50-100,0.015440942,0.021331453,0.042098574,0.113948782,0.20490931,0.385073017,0.55904381,0.283980988,0.708374992
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-50,EMB_triplet_3_256_16_0.5_100-50,0.021265794,0.022695689,0.034617924,0.086853163,0.150477608,0.274288883,0.404847735,0.407334184,0.582780964
3,256,16,0.5,16,MOD_triplet_3_256_16_0.5_100-100,EMB_triplet_3_256_16_0.5_100-100,0.018745093,0.022584627,0.036424502,0.089843868,0.157423513,0.295048874,0.430569899,0.39154912,0.597837278
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_50-50,EMB_triplet_3_256_32_0.9_50-50,0.073596208,0.104584248,0.177601297,0.288171566,0.389134206,0.533952052,0.682664021,0.226247333,0.765582543
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_50-100,EMB_triplet_3_256_32_0.9_50-100,0.055539213,0.090023219,0.163271802,0.286384452,0.401732992,0.551727988,0.695378542,0.210539063,0.777926342
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_100-50,EMB_triplet_3_256_32_0.9_100-50,0.112227596,0.139160584,0.180991031,0.253025788,0.309635008,0.430683717,0.519851939,0.331040064,0.664050771
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_100-100,EMB_triplet_3_256_32_0.9_100-100,0.130009315,0.157889481,0.206117398,0.26059002,0.313659215,0.425196314,0.534070056,0.328358867,0.665194814
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_50-50,EMB_triplet_3_256_16_0.9_50-50,0.015073876,0.022410235,0.058330522,0.200837401,0.361695891,0.646315847,0.802959587,0.193486306,0.790911361
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_50-100,EMB_triplet_3_256_16_0.9_50-100,0.007778125,0.013057459,0.050206303,0.188700668,0.348590903,0.638231011,0.774866848,0.207959249,0.772041944
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_100-50,EMB_triplet_3_256_16_0.9_100-50,0.015496641,0.020103036,0.035973696,0.093493204,0.157223754,0.289436513,0.421873922,0.388953951,0.59584762
3,256,16,0.9,16,MOD_triplet_3_256_16_0.9_100-100,EMB_triplet_3_256_16_0.9_100-100,0.002759469,0.004036877,0.01677717,0.074241197,0.140495152,0.273375441,0.406199833,0.403591404,0.582647608
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_50-50,EMB_triplet_3_256_32_0.5_50-50,0.007314557,0.014587097,0.039020557,0.11409286,0.205224131,0.391482672,0.576982507,0.271712138,0.724643256
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_50-100,EMB_triplet_3_256_32_0.5_50-100,0.00315232,0.007882419,0.0335896,0.116552754,0.213715937,0.396014605,0.587821846,0.265272721,0.73026307
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_100-50,EMB_triplet_3_256_32_0.5_100-50,0.021971123,0.023643542,0.036053789,0.086795046,0.156393537,0.28497041,0.413877717,0.400486272,0.589879983
3,256,32,0.5,32,MOD_triplet_3_256_32_0.5_100-100,EMB_triplet_3_256_32_0.5_100-100,0.02111629,0.02241055,0.035268335,0.085905682,0.15086533,0.280771614,0.411439397,0.403179195,0.583361654
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_50-50,EMB_triplet_3_512_8_0.5_50-50,0.022918992,0.043784707,0.142572461,0.266228475,0.338400095,0.472731564,0.614191617,0.249562238,0.742267956
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_50-100,EMB_triplet_3_512_8_0.5_50-100,0.011180508,0.023512754,0.095249038,0.251427566,0.337727502,0.478642678,0.63177852,0.250299591,0.747152029
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_100-50,EMB_triplet_3_512_8_0.5_100-50,0.122320929,0.148895389,0.191569068,0.239693783,0.29187606,0.39749987,0.507693765,0.340273329,0.656137397
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_100-100,EMB_triplet_3_512_8_0.5_100-100,0.147442651,0.178915459,0.205896136,0.24746714,0.299774191,0.401228281,0.501081141,0.347869158,0.650105
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_50-50,EMB_triplet_3_256_32_0.9_50-50,0.015159191,0.022376802,0.059098127,0.201475267,0.363736167,0.641956663,0.813388136,0.184640075,0.800394696
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_50-100,EMB_triplet_3_256_32_0.9_50-100,0.007119335,0.013420804,0.053152009,0.198089212,0.359645199,0.638803043,0.808190663,0.181529653,0.802197736
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_100-50,EMB_triplet_3_256_32_0.9_100-50,0.015208673,0.018633314,0.038450308,0.112176406,0.201213859,0.341022888,0.464871255,0.371844759,0.606089405
3,256,32,0.9,32,MOD_triplet_3_256_32_0.9_100-100,EMB_triplet_3_256_32_0.9_100-100,0.011370041,0.015570566,0.036036976,0.114355752,0.195561466,0.328680453,0.458130468,0.371197204,0.615135705
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_50-50,EMB_triplet_3_512_8_0.9_50-50,0.093122523,0.12865365,0.194742132,0.326350451,0.471988735,0.69412826,0.830266916,0.16799841,0.820729699
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_50-100,EMB_triplet_3_512_8_0.9_50-100,0.052353842,0.080498826,0.162032175,0.322921137,0.468536129,0.685280206,0.809068785,0.17512955,0.808382937
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_100-50,EMB_triplet_3_512_8_0.9_100-50,0.221186443,0.227066534,0.244206185,0.30802126,0.377317896,0.491459546,0.592558338,0.29329479,0.691419234
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_100-100,EMB_triplet_3_512_8_0.9_100-100,0.112989481,0.120188287,0.160096394,0.254939829,0.3392972,0.472612433,0.580302803,0.296038115,0.677206039
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_50-50,EMB_triplet_3_512_8_0.5_50-50,0.020310628,0.025019554,0.050539569,0.163252156,0.297027309,0.55156412,0.72946621,0.21754653,0.772493797
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_50-100,EMB_triplet_3_512_8_0.5_50-100,0.016434292,0.023754254,0.048881303,0.157585719,0.292635439,0.552868871,0.735505342,0.211550847,0.778397927
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_100-50,EMB_triplet_3_512_8_0.5_100-50,0.02205083,0.023789642,0.035633945,0.087281331,0.155198673,0.280383318,0.399947715,0.416016496,0.575088479
3,512,8,0.5,8,MOD_triplet_3_512_8_0.5_100-100,EMB_triplet_3_512_8_0.5_100-100,0.013726686,0.020101941,0.037453566,0.086870543,0.148182837,0.270745161,0.390137033,0.430029305,0.566541454
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_50-50,EMB_triplet_3_512_16_0.5_50-50,0.028833148,0.055088316,0.132856029,0.258102767,0.345192998,0.474171079,0.618890304,0.248388292,0.74772136
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_50-100,EMB_triplet_3_512_16_0.5_50-100,0.018445463,0.028968873,0.091986806,0.222515191,0.310349501,0.454232208,0.604315905,0.261405808,0.732580688
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_100-50,EMB_triplet_3_512_16_0.5_100-50,0.155084512,0.181285307,0.216952305,0.259844731,0.317973106,0.425314479,0.522652176,0.320862168,0.669480523
3,512,16,0.5,16,MOD_triplet_3_512_16_0.5_100-100,EMB_triplet_3_512_16_0.5_100-100,0.11089416,0.134607506,0.19141024,0.246633076,0.311188279,0.413692194,0.52693176,0.337014489,0.664162899
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_50-50,EMB_triplet_3_512_8_0.9_50-50,0.018542845,0.026843797,0.061249214,0.196680063,0.334304781,0.562732095,0.681791654,0.271354953,0.714720408
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_50-100,EMB_triplet_3_512_8_0.9_50-100,0.012874986,0.018981966,0.0522025,0.172925298,0.302157952,0.53553337,0.651054158,0.295143326,0.691993838
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_100-50,EMB_triplet_3_512_8_0.9_100-50,0.01639498,0.021312721,0.036898843,0.090443585,0.154935864,0.283805489,0.410221062,0.418382943,0.572592667
3,512,8,0.9,8,MOD_triplet_3_512_8_0.9_100-100,EMB_triplet_3_512_8_0.9_100-100,0.002790857,0.004975243,0.022925187,0.079514421,0.14675994,0.269788062,0.388656054,0.414560569,0.572733847
